Timestamp,VMT_total,TT_mean,Weather,Crash,incident,Rd Work
20150101 00:15,172,2,0,0,0,0
20150101 00:30,379,2,0,0,0,0
20150101 00:45,391,2.81,0,0,0,0
20150101 01:00,443,3.16,0,0,0,0
20150101 01:15,370,2.42,0,0,0,0
20150101 01:30,335,2.76,0,0,0,0
20150101 01:45,288,2,0,0,0,0
20150101 02:00,292,2,0,0,0,0
20150101 02:15,263,2,0,0,0,0
20150101 02:30,225,2,0,0,0,0
20150101 02:45,199,2,0,0,0,0
20150101 03:00,213,2.35,0,0,0,0
20150101 03:15,149,2,0,0,0,0
20150101 03:30,186,2.23,0,0,0,0
20150101 03:45,143,2,0,0,0,0
20150101 04:00,134,2.4,0,0,0,0
20150101 04:15,139,2,0,0,0,0
20150101 04:30,97,2,0,0,0,0
20150101 04:45,122,2,0,0,0,0
20150101 05:00,124,2,0,0,0,0
20150101 05:15,137,2,0,0,0,0
20150101 05:30,199,2,0,0,0,0
20150101 05:45,213,2,0,0,0,0
20150101 06:00,201,2,0,0,0,0
20150101 06:15,168,2.69,0,0,0,0
20150101 06:30,286,2.14,0,0,0,0
20150101 06:45,310,2,0,0,0,0
20150101 07:00,236,2,0,0,0,0
20150101 07:15,126,2,0,0,0,0
20150101 07:30,199,2,0,0,0,0
20150101 07:45,230,2.25,0,0,0,0
20150101 08:00,215,2,0,0,0,0
20150101 08:15,221,2,0,0,0,0
20150101 08:30,279,2.26,0,0,0,0
20150101 08:45,302,2,0,0,0,0
20150101 09:00,296,2,0,0,0,0
20150101 09:15,310,4.25,0,0,0,0
20150101 09:30,404,2.05,0,0,0,0
20150101 09:45,455,2.09,0,0,0,0
20150101 10:00,449,2,0,0,0,0
20150101 10:15,447,1.99,0,0,0,0
20150101 10:30,507,2,0,0,0,0
20150101 10:45,519,2.12,0,0,0,0
20150101 11:00,577,2.12,0,0,0,0
20150101 11:15,563,2.04,0,0,0,0
20150101 11:30,592,2,0,0,0,0
20150101 11:45,672,2.11,0,0,0,0
20150101 12:00,759,2,0,0,0,0
20150101 12:15,714,2,0,0,0,0
20150101 12:30,726,2,0,0,0,0
20150101 12:45,646,1.96,0,0,0,0
20150101 13:00,658,2.06,0,0,0,0
20150101 13:15,646,2.09,0,0,0,0
20150101 13:30,720,1.97,0,0,0,0
20150101 13:45,784,2.63,0,0,0,0
20150101 14:00,753,1.99,1,0,0,0
20150101 14:15,794,2.14,1,0,0,0
20150101 14:30,747,2.31,0,0,0,0
20150101 14:45,840,2.22,0,0,0,0
20150101 15:00,780,2,0,0,0,0
20150101 15:15,726,2.11,0,0,0,0
20150101 15:30,836,4.31,0,0,0,0
20150101 15:45,873,2.28,0,0,0,0
20150101 16:00,794,2,0,0,0,0
20150101 16:15,703,2,0,0,0,0
20150101 16:30,747,1.9,0,0,0,0
20150101 16:45,724,1.93,0,0,0,0
20150101 17:00,720,2.1,0,0,0,0
20150101 17:15,683,3.01,0,0,0,0
20150101 17:30,712,2.12,0,0,0,0
20150101 17:45,691,2.06,0,0,0,0
20150101 18:00,670,2,0,0,0,0
20150101 18:15,635,2.12,0,0,0,0
20150101 18:30,734,2.28,0,0,0,0
20150101 18:45,683,1.99,0,0,0,0
20150101 19:00,548,2.21,0,0,0,0
20150101 19:15,557,2.04,0,0,0,0
20150101 19:30,530,1.88,0,0,0,0
20150101 19:45,441,2.48,0,0,0,0
20150101 20:00,488,12.51,0,0,0,0
20150101 20:15,432,2.35,0,0,0,0
20150101 20:30,416,2,0,0,0,0
