Timestamp,VMT_total,TT_mean,Weather,Crash,incident,Rd Work
20150520 15:45,1548,2.836114609,0,0,0,0
20150827 16:00,1541,4.384771594,0,0,0,0
20150121 16:30,1538,2.231688964,0,0,0,0
20150407 16:00,1534,2.890385679,0,0,0,0
20150406 16:30,1531,3.59825944,0,0,0,0
20150309 16:00,1522,5.175902243,0,0,0,0
20150416 16:00,1521,3.160000276,0,0,0,0
20150320 16:00,1519,3.944148682,0,0,0,0
20150302 16:00,1519,1.72810832,0,0,0,0
20150528 16:00,1509,4.217533305,0,0,0,0
20150504 16:00,1507,2.553910817,0,0,0,0
20150302 16:30,1505,5.754605579,0,0,0,0
20150430 16:00,1504,2.38206365,0,0,0,0
20150323 17:00,1501,3.233374736,0,0,0,0
20150511 16:15,1499,4.432326502,0,1,0,0
20150326 16:30,1499,4.151433884,0,0,0,0
20150414 16:30,1499,3.870541266,0,0,0,0
20150408 16:15,1499,3.471726324,0,0,0,0
20150219 16:30,1499,2.126910439,0,0,0,0
20150428 17:00,1495,3.927236993,0,0,0,0
20150129 16:45,1494,4.144127855,0,0,0,0
20150325 16:00,1494,3.068006501,0,0,0,0
20150507 16:15,1494,2.480683824,0,0,0,0
20150422 17:15,1492,3.634318333,0,0,0,0
20150513 16:15,1492,3.164116529,0,0,0,0
20150223 16:30,1492,2.905408081,0,0,0,0
20150909 16:30,1492,2.894264703,1,0,0,0
20150416 16:30,1491,4.985122661,0,0,0,0
20150729 16:30,1491,3.882678444,0,0,0,0
20150324 16:00,1491,3.231008852,0,0,0,0
20150623 16:45,1491,3.216356187,0,0,0,0
20150824 15:45,1491,3.05987658,0,0,0,0
20150507 16:30,1491,2.697168617,0,0,0,0
20150326 15:45,1490,2.838184491,0,0,0,0
20150512 15:45,1490,2.721773169,0,0,0,0
20150311 16:45,1488,2.6552976,0,0,0,0
20150708 15:45,1488,2.097750439,0,0,0,0
20150415 15:45,1487,3.759376779,0,0,0,0
20150512 16:00,1487,2.740363631,0,0,0,0
20150612 15:30,1487,2.127297273,0,0,0,0
20150401 17:00,1487,2.064927272,0,0,0,0
20150422 15:45,1487,1.961304974,0,0,0,0
20150710 15:45,1485,4.542497191,0,0,0,0
20150217 16:00,1485,3.072331131,0,0,0,0
20150227 16:15,1485,2.929054097,0,0,0,0
20150505 15:45,1485,2.664325147,0,0,0,0
20150113 17:00,1485,1.901542361,0,0,0,0
20150414 17:15,1484,2.962868926,0,0,0,0
20150416 17:00,1482,7.382570969,0,0,0,0
20150121 16:00,1482,3.405042378,0,0,0,0
20150105 16:30,1482,3.300078986,0,0,0,0
20150817 17:00,1482,3.288578695,0,0,0,0
20150423 16:00,1482,3.000421724,0,0,0,0
20150225 16:30,1482,2.102123156,1,0,0,0
20150901 15:45,1482,2.02940268,0,0,0,0
20150414 17:00,1481,5.825582098,0,0,0,0
20150601 16:15,1481,4.531828272,0,1,0,0
20150625 16:15,1481,4.412815974,0,0,0,0
20150417 16:00,1481,4.070881627,0,0,0,0
20150601 16:45,1481,3.701176461,0,0,0,0
20150330 17:30,1481,1.82836666,0,0,0,0
20150302 17:00,1480,6.020482208,0,0,0,0
20150126 16:45,1478,4.110886865,0,0,0,0
20150316 16:00,1478,3.519415877,0,0,0,0
20150901 16:00,1478,2.52360955,0,0,0,0
20150410 15:45,1478,2.396161711,0,0,0,0
20150319 16:45,1477,6.74377589,0,0,0,0
20150408 17:30,1477,3.444499424,0,0,0,0
20150420 17:30,1477,3.190438324,0,1,0,0
20150601 15:45,1477,2.43597567,0,1,0,0
20150414 15:45,1475,3.080589285,0,0,0,0
20150205 16:45,1475,2.986143069,0,0,0,0
20150413 16:45,1475,2.732647259,0,0,0,0
20150326 16:45,1474,3.851194234,0,0,0,0
20150408 15:45,1474,3.768391502,0,0,0,0
20150327 15:30,1474,2.017637376,0,0,0,0
20150506 16:00,1472,4.045802616,0,0,0,0
20150325 16:45,1472,3.722180894,0,0,0,0
20150709 16:45,1472,3.667120128,0,0,0,0
20150306 16:45,1472,3.209202968,0,0,0,0
20150126 16:15,1472,2.400673347,0,0,0,0
20150424 16:00,1472,2.358247726,0,0,0,0
20150430 15:45,1472,2.333075747,0,0,0,0
20150909 16:45,1471,4.984128862,1,0,0,0
20150129 16:30,1471,4.322675154,0,0,0,0
20150910 16:45,1471,3.759126726,0,0,0,0
20150423 16:45,1471,3.508873053,0,0,0,0
20150813 16:45,1471,2.728652826,0,0,0,0
20150420 16:45,1470,3.439960004,0,0,0,0
20150422 16:30,1470,3.156253758,0,0,0,0
20150429 16:15,1470,3.058443585,0,0,0,0
20150709 16:00,1470,2.739167866,0,0,0,0
20150520 16:00,1470,2.566291636,0,0,0,0
20150623 15:45,1470,2.534368231,0,0,0,0
20150909 16:00,1468,4.652905108,0,0,0,0
20150408 16:00,1468,3.860391688,0,0,0,0
20150317 17:45,1468,3.663991262,0,0,0,0
20150414 16:45,1468,3.602773214,0,0,0,0
20150316 16:45,1468,3.034963202,0,0,0,0
20150604 15:45,1468,3.0308384,0,0,0,0
20150513 15:45,1468,2.899576722,0,0,0,0
20150519 16:00,1467,4.0748066,0,0,0,0
20150506 15:30,1467,3.344402443,0,0,0,0
20150707 17:15,1467,3.291207455,0,0,0,0
20150817 16:30,1467,3.238632256,0,0,0,0
20150324 17:15,1467,3.129602834,0,0,0,0
20150324 16:30,1467,2.814712657,0,0,0,0
20150416 15:30,1467,2.80926172,0,0,0,0
20150708 17:15,1467,2.628759948,0,1,0,0
20150325 16:30,1467,2.614750581,0,0,0,0
20150304 17:15,1465,3.088103691,0,0,0,0
20150406 17:00,1465,2.820915889,0,0,0,0
20150127 16:30,1465,2.288008543,0,0,0,0
20150311 15:45,1465,2.15581825,0,0,0,0
20150225 15:45,1465,2.059332074,0,0,0,0
20150305 16:00,1465,1.782299245,0,0,0,0
20150826 16:30,1464,4.014116441,0,0,0,0
20150903 17:00,1464,3.958912482,0,0,0,0
20150506 15:45,1464,3.105576396,0,0,0,0
20150701 15:45,1464,3.002043861,0,0,0,0
20150616 15:45,1464,2.690213089,0,0,0,0
20150921 16:00,1464,2.51309451,0,0,0,0
20150224 16:30,1462,4.965416579,0,0,0,0
20150323 16:30,1462,4.14129713,0,0,0,0
20150409 15:45,1462,4.091161548,0,0,0,0
20150127 16:00,1462,3.297093313,0,0,0,0
20150326 17:30,1462,3.240010752,0,0,0,0
20150408 16:45,1462,3.223862045,0,0,0,0
20150916 15:30,1462,3.165026978,0,0,0,0
20150330 16:00,1462,2.886250191,0,0,0,0
20150417 15:30,1462,2.638403009,0,0,0,0
20150515 15:45,1462,2.524055157,0,0,0,0
20150407 15:45,1462,2.220789227,0,0,0,0
20150420 16:00,1461,4.472710025,0,0,0,0
20150615 17:30,1461,4.247935021,0,0,0,0
20150615 16:00,1461,3.310608986,0,0,0,0
20150217 17:15,1461,3.146508112,0,0,0,0
20150506 17:45,1461,3.05987658,0,0,0,0
20150715 16:15,1461,2.907408503,0,0,0,0
20150202 16:30,1461,2.020259725,0,0,0,0
20150911 15:45,1460,5.06824918,0,0,0,0
20150623 16:15,1460,4.63062049,0,0,0,0
20150901 17:00,1460,3.338525134,0,0,0,0
20150126 16:30,1460,3.327314435,0,0,0,0
20150128 15:45,1460,2.823288184,0,0,0,0
20150518 17:30,1460,2.789370769,0,0,0,0
20150120 16:15,1460,2.76834069,0,0,0,0
20150211 16:00,1460,2.595573457,0,0,0,0
20150326 16:00,1460,2.508250539,0,0,0,0
20150316 17:00,1460,2.455322702,0,0,0,0
20150518 15:45,1458,4.029376072,0,0,0,0
20150416 16:45,1458,3.805748745,0,0,0,0
20150612 16:15,1458,3.768750552,0,0,0,0
20150323 16:45,1458,3.01393526,0,0,0,0
20150224 16:00,1458,2.847947235,0,0,0,0
20150428 16:00,1458,2.835553594,0,0,0,0
20150317 15:45,1457,5.613780986,0,0,0,0
20150312 16:45,1457,5.018376475,0,0,0,0
20150630 17:30,1457,4.606013801,0,0,0,0
20150825 16:45,1457,3.740725406,0,0,0,0
20150407 16:30,1457,3.575735456,0,0,0,0
20150423 16:15,1457,3.073266158,0,0,0,0
20150701 16:45,1457,2.933696102,0,0,0,0
20150713 16:30,1457,2.818030664,0,0,0,0
20150206 16:30,1457,2.771693962,0,0,0,0
20150407 16:45,1457,2.653053537,0,0,0,0
20150512 15:30,1457,2.617927534,0,0,0,0
20150427 15:30,1457,2.214424636,0,0,0,0
20150324 15:45,1457,1.915115738,0,0,0,0
20150323 15:45,1455,4.01849557,0,0,0,0
20150505 17:00,1455,3.855134169,0,0,0,0
20150624 16:15,1455,3.353771942,0,0,0,0
20150304 15:45,1455,3.23719285,0,0,0,0
20150520 17:15,1455,3.153261674,0,0,0,0
20150908 16:15,1455,2.912666023,0,0,0,0
20150130 15:30,1455,2.785991851,0,0,0,0
20150415 17:30,1455,2.359552489,0,0,0,0
20150209 16:30,1455,2.231695375,0,0,0,0
20150302 17:30,1455,2.185512551,0,0,0,0
20150313 16:15,1454,3.921616149,0,0,0,0
20150729 15:45,1454,3.701294007,0,0,0,0
20150319 16:30,1454,3.653480497,0,0,0,0
20150324 16:45,1454,3.631506842,0,0,0,0
20150520 16:15,1454,3.421360993,0,0,0,0
20150512 16:15,1454,3.117013639,0,0,0,0
20150616 16:00,1454,3.015809587,0,0,0,0
20150609 16:00,1454,2.788240189,0,0,0,0
20150312 16:15,1454,2.530187862,0,0,0,0
20150707 16:45,1454,2.145068118,0,0,0,0
20150916 16:45,1454,1.695550167,0,0,0,0
20150824 16:45,1452,4.605587429,0,0,0,0
20150428 16:15,1452,3.798612624,0,0,0,0
20150223 17:00,1452,3.593014744,0,0,0,0
20150624 16:45,1452,2.892629743,0,0,0,0
20150504 16:30,1452,2.664310186,0,0,0,0
20150209 16:00,1452,2.658676519,0,0,0,0
20150204 16:45,1452,2.638759922,0,0,0,0
20150202 16:45,1452,1.987201465,0,0,0,0
20150729 16:00,1451,4.227045997,0,0,0,0
20150518 16:00,1451,4.219407632,0,0,0,0
20150817 16:00,1451,3.769641766,0,0,0,0
20150616 17:15,1451,3.497253079,0,0,0,0
20150701 16:00,1451,3.293836215,0,0,0,0
20150422 16:00,1451,3.038692622,0,0,0,0
20150113 16:15,1451,2.900509611,0,0,0,0
20150624 15:45,1451,2.900137737,0,0,0,0
20150909 15:45,1451,2.626131188,0,0,0,0
20150306 15:45,1451,2.455890129,0,0,0,0
20150213 16:30,1451,2.343238148,0,0,0,0
20150810 16:45,1451,2.195014557,0,0,0,0
20150218 16:45,1451,1.719209006,0,0,0,0
20150519 15:45,1450,4.926559019,0,0,0,0
20150608 16:15,1450,4.201380323,0,0,0,0
20150729 18:00,1450,3.590886089,0,0,0,0
20150402 16:00,1450,3.557151405,0,0,0,0
20150611 16:45,1450,3.194939274,1,0,0,0
20150120 15:45,1450,2.95665287,0,0,0,0
20150202 17:00,1450,2.752189845,0,0,0,0
20150312 16:30,1450,2.582070607,0,0,0,0
20150424 15:30,1450,2.516723482,0,0,0,0
20150120 16:00,1450,2.486313217,0,0,0,0
20150608 16:45,1450,2.334338834,0,0,0,0
20150728 16:30,1450,1.940024842,0,0,0,0
20150127 15:45,1450,1.8542717,0,0,0,0
20150323 16:15,1450,1.719209006,0,0,0,0
20150623 17:15,1448,4.229561485,0,0,0,0
20150410 16:30,1448,4.17226841,0,0,0,0
20150122 16:00,1448,2.420953269,0,0,0,0
