Timestamp,DayofWeek,Month,VMT,Travel Time,Weather,Crash
20140101 00:15,3,Jan,590.3907625,2.955902307,0,0
20140101 00:30,3,Jan,976.1699507,3.040814719,0,0
20140101 00:45,3,Jan,1268.874877,3.060916415,0,0
20140101 01:00,3,Jan,1277.85,3.030064251,0,0
20140101 01:15,3,Jan,1220.892308,3.052156775,0,0
20140101 01:30,3,Jan,926.7949918,3.018067393,0,0
20140101 01:45,3,Jan,851.3369281,2.983397046,0,0
20140101 02:00,3,Jan,911.8310428,3.014980277,0,0
20140101 02:15,3,Jan,789.5693661,2.955027486,0,0
20140101 02:30,3,Jan,760.1808945,3.003808905,0,0
20140101 02:45,3,Jan,659.025,2.983424109,0,0
20140101 03:00,3,Jan,571.8968549,3.022482513,0,0
20140101 03:15,3,Jan,625.9209524,3.087489392,0,0
20140101 03:30,3,Jan,569.5669775,2.980004197,0,0
20140101 03:45,3,Jan,571.8368371,3.018157334,0,0
20140101 04:00,3,Jan,557.865252,3.067116758,0,0
20140101 04:15,3,Jan,507.0639212,3.044854203,0,0
20140101 04:30,3,Jan,456.1683983,3.053904387,0,0
20140101 04:45,3,Jan,483.6553758,3.057932573,0,0
20140101 05:00,3,Jan,437.129304,3.066402587,0,0
20140101 05:15,3,Jan,426.154686,3.008046407,0,0
20140101 05:30,3,Jan,458.0335785,2.963807064,0,0
20140101 05:45,3,Jan,451.2527873,2.96077586,0,0
20140101 06:00,3,Jan,484.8636977,2.932844617,0,0
20140101 06:15,3,Jan,485.1255717,3.085361652,0,0
20140101 06:30,3,Jan,509.9831107,2.960476425,0,0
20140101 06:45,3,Jan,556.5925342,3.012746226,0,0
20140101 07:00,3,Jan,477.6463473,3.099386529,0,0
20140101 07:15,3,Jan,534.7512152,2.971962864,0,0
20140101 07:30,3,Jan,567.9059048,2.976408793,0,0
20140101 07:45,3,Jan,563.3832891,2.938543096,0,0
20140101 08:00,3,Jan,532.2154296,2.937961114,0,0
20140101 08:15,3,Jan,507.3617629,2.913724583,0,0
20140101 08:30,3,Jan,584.3692905,2.859214687,0,0
20140101 08:45,3,Jan,662.2876905,2.904973888,0,0
20140101 09:00,3,Jan,781.8086207,2.911395915,0,0
20140101 09:15,3,Jan,724.0311932,2.85857675,0,0
20140101 09:30,3,Jan,756.6276704,2.898204399,0,0
20140101 09:45,3,Jan,994.8198401,2.850365791,0,0
20140101 10:00,3,Jan,952.7034483,2.806959826,0,0
20140101 10:15,3,Jan,1075.517091,2.879325683,0,0
20140101 10:30,3,Jan,1254.814589,2.835818537,0,0
20140101 10:45,3,Jan,1250.48382,2.824855372,0,0
20140101 11:00,3,Jan,1299.126601,2.850029442,0,0
20140101 11:15,3,Jan,1362.6,2.825319199,0,0
20140101 11:30,3,Jan,1455.817241,2.922914368,0,0
20140101 11:45,3,Jan,1724.605556,2.848991348,0,0
20140101 12:00,3,Jan,1650.965385,2.849270738,0,0
20140101 12:15,3,Jan,1529.710728,2.852127009,0,0
20140101 12:30,3,Jan,1581.583333,2.835757394,0,0
20140101 12:45,3,Jan,1497.572944,2.855138363,0,0
20140101 13:00,3,Jan,1460.553898,2.85575178,0,0
20140101 13:15,3,Jan,1463.291379,2.82887636,0,0
20140101 13:30,3,Jan,1555.114721,2.845737602,0,0
20140101 13:45,3,Jan,1509.188992,2.832517502,0,0
20140101 14:00,3,Jan,1414.856552,2.806312785,0,0
20140101 14:15,3,Jan,1549.5,2.86394668,0,0
20140101 14:30,3,Jan,1692.183333,2.85548623,0,0
20140101 14:45,3,Jan,1525.782909,2.836155138,0,0
20140101 15:00,3,Jan,1500.72931,2.831107547,0,0
20140101 15:15,3,Jan,1423.821429,2.910754282,0,0
20140101 15:30,3,Jan,1535.294444,2.838511221,0,0
20140101 15:45,3,Jan,1529.553448,2.895436304,0,0
20140101 16:00,3,Jan,1539.194828,2.818045879,0,0
20140101 16:15,3,Jan,1531.876245,2.840619261,0,0
20140101 16:30,3,Jan,1502.380769,2.931079377,0,0
20140101 16:45,3,Jan,1536.164286,2.93578128,0,0
20140101 17:00,3,Jan,1513.336398,2.947837846,0,0
20140101 17:15,3,Jan,1419.165517,2.907704483,0,0
20140101 17:30,3,Jan,1590.907143,3.000427485,0,0
20140101 17:45,3,Jan,1629.365517,2.995855481,0,0
20140101 18:00,3,Jan,1491.7,2.953015067,0,0
20140101 18:15,3,Jan,1399.221429,2.910417974,0,0
20140101 18:30,3,Jan,1361.153448,2.94995498,0,0
20140101 18:45,3,Jan,1449.861111,2.968170222,0,0
20140101 19:00,3,Jan,1168.807635,2.988602632,0,0
20140101 19:15,3,Jan,1258.75936,2.961448034,0,0
20140101 19:30,3,Jan,1072.299829,2.946269208,0,0
20140101 19:45,3,Jan,1002.34427,2.900264442,0,0
20140101 20:00,3,Jan,1058.158621,2.889038945,0,0
20140101 20:15,3,Jan,898.1205002,2.98141423,0,0
20140101 20:30,3,Jan,1000.152682,2.913165693,0,0
20140101 20:45,3,Jan,946.3716356,2.955718121,0,0
20140101 21:00,3,Jan,744.9970296,3.017974672,0,0
20140101 21:15,3,Jan,845.0316522,2.90968873,0,0
20140101 21:30,3,Jan,821.1880567,2.969806386,0,0
20140101 21:45,3,Jan,780.7478818,2.945060234,0,0
20140101 22:00,3,Jan,753.0496324,2.931476197,0,0
20140101 22:15,3,Jan,640.8385647,2.913600611,0,0
20140101 22:30,3,Jan,724.3205423,2.864132522,0,0
20140101 22:45,3,Jan,732.0092355,2.936025328,0,0
20140101 23:00,3,Jan,628.51331,3.003412032,0,0
20140101 23:15,3,Jan,616.9209572,2.960679594,0,0
20140101 23:30,3,Jan,562.0955299,3.044560897,0,0
20140101 23:45,3,Jan,573.6448718,3.000864756,0,0
20140102 00:00,4,Jan,574.411001,2.941291934,0,0
20140102 00:15,4,Jan,586.4612752,3.075087431,0,0
20140102 00:30,4,Jan,511.4220825,3.023129928,0,0
20140102 00:45,4,Jan,468.314377,3.009674085,0,0
20140102 01:00,4,Jan,442.0212148,2.969794939,0,0
20140102 01:15,4,Jan,450.5680589,3.01355613,0,0
20140102 01:30,4,Jan,421.7252972,2.866298911,0,0
20140102 01:45,4,Jan,377.4805463,2.968327067,0,0
20140102 02:00,4,Jan,389.8972689,2.90955468,0,0
20140102 02:15,4,Jan,352.4284281,2.896809633,0,0
20140102 02:30,4,Jan,379.9547619,2.973709865,0,0
20140102 02:45,4,Jan,421.234276,3.046668041,0,0
20140102 03:00,4,Jan,385.1183624,3.135660311,0,0
20140102 03:15,4,Jan,400.7262987,3.039647284,0,0
20140102 03:30,4,Jan,343.0765886,3.058262857,0,0
20140102 03:45,4,Jan,379.2162546,3.187697632,0,0
20140102 04:00,4,Jan,477.2271212,3.08939864,0,0
20140102 04:15,4,Jan,445.6407389,2.922540975,0,0
20140102 04:30,4,Jan,531.1626794,3.007899276,0,0
20140102 04:45,4,Jan,618.598238,2.993423718,0,0
20140102 05:00,4,Jan,579.5444676,3.046084754,0,0
20140102 05:15,4,Jan,870.4256302,3.032071117,0,0
20140102 05:30,4,Jan,1253.162069,2.949074122,0,0
20140102 05:45,4,Jan,1683.25,2.934798145,0,0
20140102 06:00,4,Jan,2008.1,2.987397736,0,0
20140102 06:15,4,Jan,2115.846552,3.056669305,0,0
20140102 06:30,4,Jan,3035.8,3.099206508,0,0
20140102 06:45,4,Jan,3410.05,3.312391369,0,0
20140102 07:00,4,Jan,3517.55,3.374870972,0,0
20140102 07:15,4,Jan,3386.95,3.535182475,0,0
20140102 07:30,4,Jan,3605.85,3.992976073,0,0
20140102 07:45,4,Jan,3314.45,4.963822772,0,0
20140102 08:00,4,Jan,3339.15,4.582015539,0,0
20140102 08:15,4,Jan,2556.1,3.169516158,0,0
20140102 08:30,4,Jan,2271.3,3.201237955,0,0
20140102 08:45,4,Jan,2221.85,3.294228513,0,0
20140102 09:00,4,Jan,3186.1,3.577518804,0,0
20140102 09:15,4,Jan,2769.142857,3.388075027,0,0
20140102 09:30,4,Jan,2489.989655,3.276739424,0,0
20140102 09:45,4,Jan,2180.45,3.168546906,0,0
20140102 10:00,4,Jan,2011.7,3.226825877,0,0
20140102 10:15,4,Jan,1748.1,3.227833842,0,0
20140102 10:30,4,Jan,1697.532759,3.265455126,0,0
20140102 10:45,4,Jan,1902.505172,3.424615695,0,0
20140102 11:00,4,Jan,1748.041188,3.274214037,0,0
20140102 11:15,4,Jan,1715.207692,3.32171314,0,0
20140102 11:30,4,Jan,1920.55,3.279861132,0,0
20140102 11:45,4,Jan,2015.798276,3.203046745,0,0
20140102 12:00,4,Jan,1778.342857,3.16945675,0,0
20140102 12:15,4,Jan,1726.394828,3.299549176,0,0
20140102 12:30,4,Jan,1958.735714,3.219107167,0,0
20140102 12:45,4,Jan,1872.85,3.165713914,0,0
20140102 13:00,4,Jan,1799.67069,3.186348209,0,0
20140102 13:15,4,Jan,1730.898276,3.130649798,0,0
20140102 13:30,4,Jan,1775.727586,3.076435959,0,0
20140102 13:45,4,Jan,1943.651724,3.229213869,0,0
20140102 14:00,4,Jan,1972.321429,3.185655694,0,0
20140102 14:15,4,Jan,1947.257143,3.164790069,0,0
20140102 14:30,4,Jan,1984.85,3.166706352,0,0
20140102 14:45,4,Jan,2114.75,3.133825799,0,0
20140102 15:00,4,Jan,1867.015517,3.075785628,0,0
20140102 15:15,4,Jan,1997.584483,3.151051717,0,0
20140102 15:30,4,Jan,1920.5,3.014437674,0,0
20140102 15:45,4,Jan,1923.95,3.091903626,0,0
20140102 16:00,4,Jan,1817.292857,3.034925258,0,0
20140102 16:15,4,Jan,1781.45,3.048226582,0,0
20140102 16:30,4,Jan,1874.55,3.136530551,0,0
20140102 16:45,4,Jan,1927.8,3.056782717,0,0
20140102 17:00,4,Jan,1942.65,3.055686453,0,0
20140102 17:15,4,Jan,1660.122414,3.027976405,0,0
20140102 17:30,4,Jan,1984.95,3.154834823,0,0
20140102 17:45,4,Jan,1611.732759,3.122902322,0,0
20140102 18:00,4,Jan,1639.5,3.034075734,0,0
20140102 18:15,4,Jan,1563.075862,3.082866181,0,0
20140102 18:30,4,Jan,1492.831034,3.006908624,0,0
20140102 18:45,4,Jan,1540.925862,2.990053551,0,0
20140102 19:00,4,Jan,1256.615385,2.992999172,0,0
20140102 19:15,4,Jan,1236.522222,3.174860795,0,0
20140102 19:30,4,Jan,1097.221429,3.088308447,0,0
20140102 19:45,4,Jan,987.4908736,3.193605349,0,0
20140102 20:00,4,Jan,945.4192118,3.210361592,0,0
20140102 20:15,4,Jan,821.1192939,3.170902093,0,0
20140102 20:30,4,Jan,908.0537135,3.251407087,0,0
20140102 20:45,4,Jan,894.694636,3.135253462,0,0
20140102 21:00,4,Jan,845.6043738,3.200484808,0,0
20140102 21:15,4,Jan,770.076798,3.085442251,0,0
20140102 21:30,4,Jan,881.1141274,3.129943295,0,0
20140102 21:45,4,Jan,849.5586207,3.224375188,0,0
20140102 22:00,4,Jan,756.7973538,3.216207769,0,0
20140102 22:15,4,Jan,735.2683782,3.201975698,0,0
20140102 22:30,4,Jan,851.5201863,3.157135746,0,0
20140102 22:45,4,Jan,755.5383771,3.005269641,0,0
20140102 23:00,4,Jan,611.3448011,3.251432957,0,0
20140102 23:15,4,Jan,678.2968318,3.215244956,0,0
20140102 23:30,4,Jan,571.9191379,3.226682994,0,0
20140102 23:45,4,Jan,675.9293478,3.375689679,0,0
20140103 00:00,5,Jan,543.5659934,3.238042357,0,0
20140103 00:15,5,Jan,516.6478688,3.322747188,0,0
20140103 00:30,5,Jan,499.6131343,3.243006741,0,0
20140103 00:45,5,Jan,475.9484211,3.372741952,0,0
20140103 01:00,5,Jan,448.669475,3.337675451,0,0
20140103 01:15,5,Jan,476.147384,3.32181976,0,0
20140103 01:30,5,Jan,371.1334518,3.076487417,0,0
20140103 01:45,5,Jan,407.0753846,3.433498298,0,0
