Segment,quantiles,Delay_type,Measure,Value,Axis
1,5%,Crash,Density,26,0
1,5%,Crash,Flow,1650,0
1,5%,None,Density,28,0
1,5%,None,Flow,1858,0
1,5%,Weather,Density,32,0
1,5%,Weather,Flow,1938,0
1,10%,Crash,Density,26,0
1,10%,Crash,Flow,1626,0
1,10%,None,Density,28,0
1,10%,None,Flow,1719,0
1,10%,Weather,Density,42,0
1,10%,Weather,Flow,1912,0
1,20%,Crash,Density,24,0
1,20%,Crash,Flow,1594,0
1,20%,None,Density,28,0
1,20%,None,Flow,1591,0
1,20%,Weather,Density,24,0
1,20%,Weather,Flow,1596,0
1,30%,Crash,Density,24,0
1,30%,Crash,Flow,1507,0
1,30%,None,Density,26,0
1,30%,None,Flow,1536,0
1,30%,Weather,Density,28,0
1,30%,Weather,Flow,1544,0
1,40%,Crash,Density,24,0
1,40%,Crash,Flow,1414,0
1,40%,None,Density,24,0
1,40%,None,Flow,1480,0
1,40%,Weather,Density,28,0
1,40%,Weather,Flow,1503,0
1,50%,Crash,Density,24,0
1,50%,Crash,Flow,1391,0
1,50%,None,Density,24,0
1,50%,None,Flow,1424,0
1,50%,Weather,Density,28,0
1,50%,Weather,Flow,1438,0
1,60%,Crash,Density,24,0
1,60%,Crash,Flow,1352,0
1,60%,None,Density,22,0
1,60%,None,Flow,1383,0
1,60%,Weather,Density,28,0
1,60%,Weather,Flow,1369,0
1,70%,Crash,Density,24,0
1,70%,Crash,Flow,1266,0
1,70%,None,Density,22,0
1,70%,None,Flow,1345,0
1,70%,Weather,Density,24,0
1,70%,Weather,Flow,1284,0
1,80%,Crash,Density,24,0
1,80%,Crash,Flow,1244,0
1,80%,None,Density,22,0
1,80%,None,Flow,1294,0
1,80%,Weather,Density,30,0
1,80%,Weather,Flow,1296,0
1,90%,Crash,Density,24,0
1,90%,Crash,Flow,1198,0
1,90%,None,Density,22,0
1,90%,None,Flow,1228,0
1,90%,Weather,Density,28,0
1,90%,Weather,Flow,1218,0
1,95%,Crash,Density,24,0
1,95%,Crash,Flow,1180,0
