Segment,quantiles,Delay_type,Measure,Value,
1,5%,Crash,Density,36,
1,5%,Crash,Flow,2240,
1,10%,Crash,Density,26,
1,10%,Crash,Flow,1626,
1,25%,Crash,Density,24,
1,25%,Crash,Flow,1572,
1,50%,Crash,Density,24,
1,50%,Crash,Flow,1391,
1,75%,Crash,Density,20,
1,75%,Crash,Flow,1215,
1,90%,Crash,Density,24,
1,90%,Crash,Flow,1198,
1,95%,Crash,Density,24,
1,95%,Crash,Flow,1180,
1,5%,None,Density,42,
1,5%,None,Flow,2720,
1,10%,None,Density,42,
1,10%,None,Flow,2080,
1,25%,None,Density,26,
1,25%,None,Flow,1558,
1,50%,None,Density,24,
1,50%,None,Flow,1424,
1,75%,None,Density,22,
1,75%,None,Flow,1322,
1,90%,None,Density,22,
1,90%,None,Flow,1228,
1,95%,None,Density,22,
1,95%,None,Flow,1175,
1,5%,Weather,Density,42,
1,5%,Weather,Flow,2272,
1,10%,Weather,Density,42,
1,10%,Weather,Flow,1912,
1,25%,Weather,Density,28,
1,25%,Weather,Flow,1571,
1,50%,Weather,Density,28,
1,50%,Weather,Flow,1438,
1,75%,Weather,Density,24,
1,75%,Weather,Flow,1274,
1,90%,Weather,Density,28,
1,90%,Weather,Flow,1218,
1,95%,Weather,Density,22,
1,95%,Weather,Flow,1113,
2,5%,Crash,Density,30,28
2,5%,Crash,Flow,1510,1673
2,5%,None,Density,24,30
2,5%,None,Flow,1609,1778
2,5%,Weather,Density,24,30
2,5%,Weather,Flow,1610,1767
2,10%,Crash,Density,30,28
2,10%,Crash,Flow,1446,1601
2,10%,None,Density,24,30
2,10%,None,Flow,1576,1732
2,10%,Weather,Density,24,30
2,10%,Weather,Flow,1570,1739
2,25%,Crash,Density,22,28
2,25%,Crash,Flow,1340,1526
2,25%,None,Density,24,30
2,25%,None,Flow,1475,1589
2,25%,Weather,Density,22,28
2,25%,Weather,Flow,1428,1549
2,50%,Crash,Density,20,28
2,50%,Crash,Flow,1288,1425
2,50%,None,Density,22,26
2,50%,None,Flow,1317,1458
2,50%,Weather,Density,22,26
2,50%,Weather,Flow,1277,1438
2,75%,Crash,Density,20,28
2,75%,Crash,Flow,1195,1323
2,75%,None,Density,20,26
2,75%,None,Flow,1245,1372
2,75%,Weather,Density,20,28
2,75%,Weather,Flow,1200,1355
2,90%,Crash,Density,18,22
2,90%,Crash,Flow,1106,1228
2,90%,None,Density,20,24
2,90%,None,Flow,1186,1308
2,90%,Weather,Density,18,28
2,90%,Weather,Flow,1109,1266
2,95%,Crash,Density,18,22
2,95%,Crash,Flow,1035,1165
2,95%,None,Density,18,24
2,95%,None,Flow,1128,1257
2,95%,Weather,Density,18,22
2,95%,Weather,Flow,1045,1149
3,5%,Crash,Density,26,60
3,5%,Crash,Flow,1382,1879
3,5%,None,Density,26,44
3,5%,None,Flow,1448,1840
3,5%,Weather,Density,26,44
3,5%,Weather,Flow,1452,1841
3,10%,Crash,Density,24,46
3,10%,Crash,Flow,1355,1691
3,10%,None,Density,26,44
3,10%,None,Flow,1419,1788
3,10%,Weather,Density,26,44
3,10%,Weather,Flow,1414,1792
3,25%,Crash,Density,24,46
3,25%,Crash,Flow,1303,1678
3,25%,None,Density,26,44
3,25%,None,Flow,1350,1788
3,25%,Weather,Density,26,42
3,25%,Weather,Flow,1345,1792
3,50%,Crash,Density,24,44
3,50%,Crash,Flow,1086,1570
3,50%,None,Density,26,40
3,50%,None,Flow,1269,1619
3,50%,Weather,Density,26,42
3,50%,Weather,Flow,1273,1623
3,75%,Crash,Density,24,34
3,75%,Crash,Flow,1046,1461
3,75%,None,Density,24,40
3,75%,None,Flow,1212,1540
3,75%,Weather,Density,26,40
3,75%,Weather,Flow,1179,1504
3,90%,Crash,Density,30,38
3,90%,Crash,Flow,1085,1392
3,90%,None,Density,24,40
3,90%,None,Flow,1153,1470
3,90%,Weather,Density,26,44
3,90%,Weather,Flow,1103,1412
3,95%,Crash,Density,20,38
3,95%,Crash,Flow,1030,1316
3,95%,None,Density,24,36
3,95%,None,Flow,1121,1416
3,95%,Weather,Density,26,44
3,95%,Weather,Flow,1024,1343
4,5%,Crash,Density,20,30
4,5%,Crash,Flow,1362,1640
