Segment,quantiles,Delay_type,br
1,5%,Crash,0.68
1,10%,Crash,0.71
1,20%,Crash,0.82
1,30%,Crash,0.78
1,40%,Crash,0.79
1,50%,Crash,0.82
1,60%,Crash,0.82
1,70%,Crash,0.88
1,80%,Crash,0.85
1,90%,Crash,0.8
1,95%,Crash,0.74
1,5%,None,1.25
1,10%,None,0.93
1,20%,None,0.89
1,30%,None,0.89
1,40%,None,0.89
1,50%,None,0.88
1,60%,None,0.88
1,70%,None,0.88
1,80%,None,0.88
1,90%,None,0.88
1,95%,None,0.91
1,5%,Weather,0.92
1,10%,Weather,0.88
1,20%,Weather,0.88
1,30%,Weather,0.88
1,40%,Weather,0.88
1,50%,Weather,0.88
1,60%,Weather,0.88
1,70%,Weather,0.88
1,80%,Weather,0.88
1,90%,Weather,0.88
1,95%,Weather,0.88
2,5%,Crash,0.68
2,10%,Crash,0.71
2,20%,Crash,0.82
2,30%,Crash,0.78
2,40%,Crash,0.79
2,50%,Crash,0.82
2,60%,Crash,0.82
2,70%,Crash,0.88
2,80%,Crash,0.85
2,90%,Crash,0.8
2,95%,Crash,0.74
2,5%,None,1.25
2,10%,None,0.93
2,20%,None,0.89
2,30%,None,0.89
2,40%,None,0.89
2,50%,None,0.88
2,60%,None,0.88
2,70%,None,0.88
2,80%,None,0.88
2,90%,None,0.88
2,95%,None,0.91
2,5%,Weather,0.92
2,10%,Weather,0.88
2,20%,Weather,0.88
2,30%,Weather,0.88
2,40%,Weather,0.88
2,50%,Weather,0.88
2,60%,Weather,0.88
2,70%,Weather,0.88
2,80%,Weather,0.88
2,90%,Weather,0.88
2,95%,Weather,0.88
3,5%,Crash,0.68
3,10%,Crash,0.71
3,20%,Crash,0.82
3,30%,Crash,0.78
3,40%,Crash,0.79
3,50%,Crash,0.82
3,60%,Crash,0.82
3,70%,Crash,0.88
3,80%,Crash,0.85
3,90%,Crash,0.8
3,95%,Crash,0.74
3,5%,None,1.25
3,10%,None,0.93
3,20%,None,0.89
3,30%,None,0.89
3,40%,None,0.89
3,50%,None,0.88
3,60%,None,0.88
3,70%,None,0.88
3,80%,None,0.88
3,90%,None,0.88
3,95%,None,0.91
3,5%,Weather,0.92
3,10%,Weather,0.88
3,20%,Weather,0.88
3,30%,Weather,0.88
3,40%,Weather,0.88
3,50%,Weather,0.88
3,60%,Weather,0.88
3,70%,Weather,0.88
3,80%,Weather,0.88
3,90%,Weather,0.88
3,95%,Weather,0.88
4,5%,Crash,0.68
4,10%,Crash,0.71
4,20%,Crash,0.82
4,30%,Crash,0.78
4,40%,Crash,0.79
4,50%,Crash,0.82
4,60%,Crash,0.82
4,70%,Crash,0.88
4,80%,Crash,0.85
4,90%,Crash,0.8
4,95%,Crash,0.74
4,5%,None,1.25
4,10%,None,0.93
4,20%,None,0.89
4,30%,None,0.89
4,40%,None,0.89
4,50%,None,0.88
4,60%,None,0.88
4,70%,None,0.88
4,80%,None,0.88
4,90%,None,0.88
4,95%,None,0.91
4,5%,Weather,0.92
4,10%,Weather,0.88
4,20%,Weather,0.88
4,30%,Weather,0.88
4,40%,Weather,0.88
4,50%,Weather,0.88
4,60%,Weather,0.88
4,70%,Weather,0.88
4,80%,Weather,0.88
4,90%,Weather,0.88
4,95%,Weather,0.88
5,5%,Crash,0.68
5,10%,Crash,0.71
5,20%,Crash,0.82
5,30%,Crash,0.78
5,40%,Crash,0.79
5,50%,Crash,0.82
5,60%,Crash,0.82
5,70%,Crash,0.88
5,80%,Crash,0.85
5,90%,Crash,0.8
5,95%,Crash,0.74
5,5%,None,1.25
5,10%,None,0.93
5,20%,None,0.89
5,30%,None,0.89
5,40%,None,0.89
5,50%,None,0.88
5,60%,None,0.88
5,70%,None,0.88
5,80%,None,0.88
5,90%,None,0.88
5,95%,None,0.91
5,5%,Weather,0.92
5,10%,Weather,0.88
5,20%,Weather,0.88
5,30%,Weather,0.88
5,40%,Weather,0.88
5,50%,Weather,0.88
5,60%,Weather,0.88
5,70%,Weather,0.88
5,80%,Weather,0.88
5,90%,Weather,0.88
5,95%,Weather,0.88
6,5%,Crash,0.68
6,10%,Crash,0.71
6,20%,Crash,0.82
6,30%,Crash,0.78
6,40%,Crash,0.79
6,50%,Crash,0.82
6,60%,Crash,0.82
6,70%,Crash,0.88
6,80%,Crash,0.85
6,90%,Crash,0.8
6,95%,Crash,0.74
6,5%,None,1.25
6,10%,None,0.93
6,20%,None,0.89
6,30%,None,0.89
6,40%,None,0.89
6,50%,None,0.88
6,60%,None,0.88
6,70%,None,0.88
6,80%,None,0.88
6,90%,None,0.88
6,95%,None,0.91
6,5%,Weather,0.92
6,10%,Weather,0.88
6,20%,Weather,0.88
6,30%,Weather,0.88
6,40%,Weather,0.88
6,50%,Weather,0.88
6,60%,Weather,0.88
6,70%,Weather,0.88
6,80%,Weather,0.88
6,90%,Weather,0.88
6,95%,Weather,0.88
7,5%,Crash,0.68
7,10%,Crash,0.71
7,20%,Crash,0.82
7,30%,Crash,0.78
7,40%,Crash,0.79
7,50%,Crash,0.82
7,60%,Crash,0.82
7,70%,Crash,0.88
7,80%,Crash,0.85
7,90%,Crash,0.8
7,95%,Crash,0.74
7,5%,None,1.25
7,10%,None,0.93
7,20%,None,0.89
7,30%,None,0.89
7,40%,None,0.89
7,50%,None,0.88
7,60%,None,0.88
7,70%,None,0.88
7,80%,None,0.88
7,90%,None,0.88
7,95%,None,0.91
7,5%,Weather,0.92
7,10%,Weather,0.88
7,20%,Weather,0.88
7,30%,Weather,0.88
7,40%,Weather,0.88
7,50%,Weather,0.88
7,60%,Weather,0.88
7,70%,Weather,0.88
7,80%,Weather,0.88
7,90%,Weather,0.88
7,95%,Weather,0.88
8,5%,Crash,0.68
8,10%,Crash,0.71
8,20%,Crash,0.82
8,30%,Crash,0.78
8,40%,Crash,0.79
8,50%,Crash,0.82
8,60%,Crash,0.82
8,70%,Crash,0.88
8,80%,Crash,0.85
8,90%,Crash,0.8
8,95%,Crash,0.74
8,5%,None,1.25
8,10%,None,0.93
8,20%,None,0.89
8,30%,None,0.89
8,40%,None,0.89
8,50%,None,0.88
8,60%,None,0.88
8,70%,None,0.88
8,80%,None,0.88
8,90%,None,0.88
8,95%,None,0.91
8,5%,Weather,0.92
8,10%,Weather,0.88
8,20%,Weather,0.88
8,30%,Weather,0.88
8,40%,Weather,0.88
8,50%,Weather,0.88
8,60%,Weather,0.88
8,70%,Weather,0.88
8,80%,Weather,0.88
8,90%,Weather,0.88
8,95%,Weather,0.88
9,5%,Crash,0.68
9,10%,Crash,0.71
9,20%,Crash,0.82
9,30%,Crash,0.78
9,40%,Crash,0.79
9,50%,Crash,0.82
9,60%,Crash,0.82
9,70%,Crash,0.88
9,80%,Crash,0.85
9,90%,Crash,0.8
9,95%,Crash,0.74
9,5%,None,1.25
9,10%,None,0.93
9,20%,None,0.89
9,30%,None,0.89
9,40%,None,0.89
9,50%,None,0.88
9,60%,None,0.88
9,70%,None,0.88
9,80%,None,0.88
9,90%,None,0.88
9,95%,None,0.91
9,5%,Weather,0.92
9,10%,Weather,0.88
9,20%,Weather,0.88
9,30%,Weather,0.88
9,40%,Weather,0.88
9,50%,Weather,0.88
9,60%,Weather,0.88
9,70%,Weather,0.88
9,80%,Weather,0.88
9,90%,Weather,0.88
9,95%,Weather,0.88
