Segment,quantiles,Delay_type,Column1,br
1,5%,Crash,0.52,0.52
1,10%,Crash,0.82,0.82
1,25%,Crash,0.94,0.8
1,50%,Crash,0.92,0.81
1,75%,Crash,0.84,0.86
1,90%,Crash,0.83,0.8
1,95%,Crash,0.77,0.99
1,5%,None,1.2,1.3
1,10%,None,1,1.05
1,25%,None,0.89,0.89
1,50%,None,0.87,0.87
1,75%,None,0.87,0.87
1,90%,None,0.88,0.88
1,95%,None,0.9,0.92
1,5%,Weather,1.12,0.92
1,10%,Weather,0.98,0.88
1,25%,Weather,0.92,0.88
1,50%,Weather,0.92,0.88
1,75%,Weather,0.94,0.88
1,90%,Weather,1.02,0.88
1,95%,Weather,1,0.9
2,5%,Crash,0.88,0.89
2,10%,Crash,0.87,0.87
2,25%,Crash,0.87,0.87
2,50%,Crash,0.9,0.9
2,75%,Crash,0.89,0.9
2,90%,Crash,0.91,0.9
2,95%,Crash,0.9,0.88
2,5%,None,0.9,0.9
2,10%,None,0.9,0.9
2,25%,None,0.92,0.92
2,50%,None,0.9,0.9
2,75%,None,0.89,0.89
2,90%,None,0.89,0.89
2,95%,None,0.89,0.89
2,5%,Weather,0.91,0.89
2,10%,Weather,0.92,0.91
2,25%,Weather,0.94,0.91
2,50%,Weather,0.92,0.88
2,75%,Weather,0.93,0.92
2,90%,Weather,0.96,0.97
2,95%,Weather,1,1.02
3,5%,Crash,0.9,0.9
3,10%,Crash,0.9,0.9
3,25%,Crash,0.9,0.9
3,50%,Crash,0.91,0.9
3,75%,Crash,0.88,0.88
3,90%,Crash,0.9,0.9
3,95%,Crash,0.95,0.89
3,5%,None,0.98,0.92
3,10%,None,0.985,0.93
3,25%,None,0.98,0.93
3,50%,None,0.95,0.95
3,75%,None,0.94,0.94
3,90%,None,,0.91
3,95%,None,,0.91
3,5%,Weather,,0.94
3,10%,Weather,,0.95
3,25%,Weather,,0.97
3,50%,Weather,,0.95
3,75%,Weather,,0.94
3,90%,Weather,,0.89
3,95%,Weather,,0.89
4,5%,Crash,,0.86
4,10%,Crash,,0.87
4,25%,Crash,,0.91
4,50%,Crash,,0.84
4,75%,Crash,,0.88
4,90%,Crash,,0.82
4,95%,Crash,,0.76
4,5%,None,,0.89
4,10%,None,,0.9
4,25%,None,,0.89
4,50%,None,,0.86
4,75%,None,,0.85
4,90%,None,,0.85
4,95%,None,,0.86
4,5%,Weather,,0.96
4,10%,Weather,,0.91
4,25%,Weather,,0.91
4,50%,Weather,,0.9
4,75%,Weather,,0.92
4,90%,Weather,,0.9
4,95%,Weather,,0.82
5,5%,Crash,,0.9
5,10%,Crash,,0.9
5,25%,Crash,,0.9
5,50%,Crash,,0.9
5,75%,Crash,,0.9
5,90%,Crash,,0.9
5,95%,Crash,,0.9
5,5%,None,,0.9
5,10%,None,,0.9
5,25%,None,,0.9
5,50%,None,,0.9
5,75%,None,,0.9
5,90%,None,,0.9
5,95%,None,,0.9
5,5%,Weather,,0.9
5,10%,Weather,,0.9
5,25%,Weather,,0.9
5,50%,Weather,,0.9
5,75%,Weather,,0.9
5,90%,Weather,,0.9
5,95%,Weather,,0.9
6,5%,Crash,,0.91
6,10%,Crash,,0.92
6,25%,Crash,,0.92
6,50%,Crash,,0.89
6,75%,Crash,,0.87
6,90%,Crash,,0.84
6,95%,Crash,,0.88
6,5%,None,,0.93
6,10%,None,,0.94
6,25%,None,,0.94
6,50%,None,,0.935
6,75%,None,,0.94
6,90%,None,,0.94
6,95%,None,,0.78
6,5%,Weather,,0.925
6,10%,Weather,,0.925
6,25%,Weather,,0.93
6,50%,Weather,,0.96
6,75%,Weather,,0.76
6,90%,Weather,,0.82
6,95%,Weather,,0.86
7,5%,Crash,,0.86
7,10%,Crash,,0.86
7,25%,Crash,,0.86
7,50%,Crash,,0.85
7,75%,Crash,,0.85
7,90%,Crash,,0.86
7,95%,Crash,,0.81
7,5%,None,,0.92
7,10%,None,,0.92
7,25%,None,,0.9
7,50%,None,,0.89
7,75%,None,,0.89
7,90%,None,,0.85
7,95%,None,,0.85
7,5%,Weather,,0.89
7,10%,Weather,,0.89
7,25%,Weather,,0.89
7,50%,Weather,,0.87
7,75%,Weather,,0.85
7,90%,Weather,,0.85
7,95%,Weather,,0.85
8,5%,Crash,,0.94
8,10%,Crash,,0.94
8,25%,Crash,,0.94
8,50%,Crash,,0.9
8,75%,Crash,,0.9
8,90%,Crash,,0.9
8,95%,Crash,,0.94
8,5%,None,,0.93
8,10%,None,,0.92
8,25%,None,,0.92
8,50%,None,,0.92
8,75%,None,,0.9
8,90%,None,,0.9
8,95%,None,,0.9
8,5%,Weather,,0.94
8,10%,Weather,,0.94
8,25%,Weather,,0.94
8,50%,Weather,,0.92
8,75%,Weather,,0.93
8,90%,Weather,,0.95
8,95%,Weather,,0.99
9,5%,Crash,,0.965
9,10%,Crash,,0.965
9,25%,Crash,,0.925
9,50%,Crash,,0.89
9,75%,Crash,,0.88
9,90%,Crash,,0.62
9,95%,Crash,,0.56
9,5%,None,,0.92
9,10%,None,,0.92
9,25%,None,,0.92
9,50%,None,,0.92
9,75%,None,,0.92
9,90%,None,,0.92
9,95%,None,,0.94
9,5%,Weather,,0.94
9,10%,Weather,,0.92
9,25%,Weather,,0.9
9,50%,Weather,,0.89
9,75%,Weather,,0.87
9,90%,Weather,,0.89
9,95%,Weather,,0.88
